Comment #,Assigned to:,Sentence,Prosocial,Abusive
12845118,572310,Why does Stormfront not have a section for this type of thing .,N/A,No
12845118,572310,"Van Rensburg , Nostradamus etc ?",N/A,No
12845118,572310,There is a 911 section .,N/A,No
12845118,572310,You could have made one for prophecies .,N/A,No
12845228,575083,"I know one thing , no white should ever give one nickel or a second thought to Africa for they have repaid good with evil .",N/A,Yes
12845244,574784,Egyet se ismerek .,N/A,Yes
12845244,574784,Fogalmam sincs hogy mennyi lehet itt .,N/A,Yes
12845244,574784,"Itt a legtobb Kanadai anti-rasszista , aki meg nem , az fel kimondani az erzelmeit , mert ez sajnos a multikulturalizmus oraszaga .",N/A,Yes
12845244,574784,"A feher embernek nincs jovoje Kanadaba , az biztos , mert az orszag el van arasztva nem-feher bevandorlokkal .",N/A,Yes
12845244,574784,"Persze , majd egyutest alakitok , es csinalunk jo hazafias bulikat .",N/A,Yes
12845244,574784,English : I do n't know one nationalist .,N/A,No
12845244,574784,I have no idea of how many might be here .,N/A,No
12845244,574784,"Most Canadians here are anti-racist , and those who are n't , are afraid of expressing their feelings .",N/A,No
12845244,574784,"Unfortunately , this is the country of multiculturalism .",N/A,No
12845244,574784,"The white man has no future in Canada , that is for sure , because the country is being flooded with non-white immigrants .",N/A,Yes
12845244,574784,"Of course , I 'll get together a band , and we 'll throw nice patriotic parties .",N/A,No
12845583,575433,I heard whites could purchase land off each other if they wanted to move into Orania .,N/A,No
12845583,575433,How much for a single white male to purchase a small plot ?,N/A,No
12845583,575433,US dollars please .,N/A,No
12845600,575437,I just came across this piece of garbage .,N/A,No
12845600,575437,Comments say she is from SA .,N/A,No
12845600,575437,Warning : Graphic .,N/A,No
12845600,575437,Die Antwoord - `` Cookie Thumper '' ( Official Video ) - YouTube,N/A,No
12845602,575438,"Although they do appear trashy and promote race mixing , the two head figures in the band are white , are married and do have a white child .",N/A,No
12845602,575438,"Sixteen Jones , Die Antwoord 's daughter - YouTube",N/A,No
12845607,572930,Probably the most disgusting thing I 've seen in the last year .,N/A,Yes
12845607,572930,"She looks like she has some African blood in her , or maybe it 's just the makeup .",N/A,Yes
12845607,572930,This is just so wrong .,N/A,Yes
12845607,572930,Like the `` white '' -African ( what the hell is her name ) ..,N/A,No
12845607,572930,Lady Gaga .,N/A,No
12845676,572363,Only if they get their collective heads out of the punch bowl and wake up to what 's going on in the world .,N/A,No
12845676,572363,"Whites are far too comfortable over here ; every night is party night , so to speak .",N/A,No
12845726,575453,Our brothers & sisters in SA must stand their ground because they have earned through the blood and sweat of their ancestors .,N/A,No
12845755,572226,It is hard to say what is going to happen however one way or the other I think Whites in South Africa should get out of the country and try to make it to a safer location such as Canada or Australia .,N/A,No
12845755,572226,Were Whites to leave in large numbers leaving few Whites behind in South Africa the country would start going down hill and then maybe more Whites would begin to see what losers Negros are and how they cannot even maintain what is given to them .,N/A,Yes
12845773,572287,Robbie is funny and I have no problems with him .,N/A,No
12845773,572287,This is your typical Afrikaans music .,N/A,No
12845773,572287,Bobby van Jaarsveld - Kyk Waar Is Ons Nou [ Official Music Video ] - YouTube We can all have a dance and feel good for a while .,N/A,No
12845773,572287,There are only two outspoken artists - Steve Hofmeyer and Sunette Bridges .,N/A,No
12845775,572297,"I like this video : Die Antwoord - `` Fatty Boom Boom '' ( Official Video ) - YouTube Girl dresses in blackface , shows Africa is savage , and makes fun of Lady Gaga .",N/A,No
12845775,572297,I 've seen interviews of them and they seem trashy .,N/A,No
12845775,572297,"They all smoke like crazy , especially the girl with the Three Stooges haircut .",N/A,No
12845808,572287,The whites are more in the range of 4.8 million .,N/A,No
12845808,572287,I believe this can be higher since I 've read reports that especially whites in the Free State were not counted in the latest census .,N/A,No
12845833,572402,"Food and water will obviously be very important , and the means to defend it What a defense force ... they are all haunted ... say hi to Casper in Upington , what a good soul",N/A,No
12846113,572219,I'm glad you can walk in those things .,N/A,No
12846113,572219,Last time I wore something even half that high I nearly broke my ankle and my neck .,N/A,No
12846163,575514,I'm looking to study at a college in South Africa later in my life .,N/A,No
12846163,575514,Are there any majority white universities in South Africa ?,N/A,No
12846163,575514,"I 've seen University of Cape Town 's website and checked how many white students they have , about 40 % .",N/A,No
12846176,575517,"What are the odds that flags will be ordered at half staff for this communist Negro terrorist , in the United States ?",N/A,No
12846195,573166,"I agree , we need groups like this in most white nations to protect our own against attack by hostile ethnic groups who lets face it do n't like white people ..",N/A,No
12846352,575540,After all thats happened since the end of apartheid it amazes me how whites in south africa can still look up to mandela .,N/A,No
12846382,575544,Look for Don McAlvany 's `` Revolution and Betrayal '' The terrorist-pig was caught red-handed with tens of thousands of grenades and anti-personnel mines .,N/A,No
12846382,575544,His commie-jew handler was Joe Slovo .,N/A,No
12846406,573196,Keep hearing how wonderful he was and someone even likened him to Christ !!,N/A,No
12846406,573196,"He was a saint apparently hope nothing awful happens to my white brother and sisters in SA , keep safe .",N/A,No
12846417,575548,nothing about white genocide is acceptable especially the fact that the mainstream media essentially denies it exist in the first place .,N/A,No
12846481,574348,You have got it all wrong .,N/A,No
12846481,574348,White nationalism is not about a bunch of nationalists who happen to be white .,N/A,No
12846481,574348,It 's about the preservation and protection of the white race regardless of culture .,N/A,No
12846482,572287,Yes and in the meantime you forget that you belong to a Nation .,N/A,No
12846482,572287,I take the assumption that your Nation is so crap is not worth remembering .,N/A,No
12846891,572668,Would it not be better to sack the black workers and employ Whites from the camps .,N/A,No
12846891,572668,Or is that impractical for some reason I dont know .,N/A,No
12846972,572185,HUNGARY IN WW2 : FOR THE JUSTICE !!!,N/A,No
12846972,572185,"- YouTube Magyar Királyi Honvédség - Holding Out For A Hero / Egy h Wehrmacht , SS and Hungarian Troops - 1944 , Carpathian Front ( HQ ) , 2.1 .",N/A,No
12846972,572185,- YouTube Magyar hadsereg bevonulása erdélybe Kolozsvári dísszemle 1940 Hungarian amry in Transylvania - YouTube 1941 Hungarian troops enter the Ukraine - YouTube My Great Grandfather fought in the Hungarian Army during WW2 .,N/A,No
12846972,572185,"He survived it , only to watch his country once again get torn into bits , and fall under communism which he fought against .",N/A,No
12846972,572185,We will never understand the pain they must have felt .,N/A,No
12847415,575681,Wow look how they promote such hate then they wonder why most of us want them to move back to africa,N/A,No
12847490,575694,Here's a site that compiles news articles of white crime and degeneracy .,N/A,No
12847490,575694,I suppose it 's their version of SF 's News and Articles forum .,N/A,No
12847490,575694,White Watch,N/A,No
12847530,575663,"I've always been told that the Hungarians in Vojvodina live like nobles , with alot of compensation money since the communist regime resigned .",N/A,No
12847705,575510,"If you want to hear what a black `` intellectual '' ( lol ) sounds like , check out the woman in this video trying to debate Dr. William Shockley .",N/A,Yes
12847705,575510,"William Shockley on race , IQ and Dysgenics - YouTube",N/A,No
12847908,575433,I think the most sickening part of this mess is that there will be no closure but instead a dead dog being dragged around infecting people .,N/A,No
12848215,575695,178 black teachers in Apelanta conspired and changed black student 's test answers to help them pass state exams .,N/A,No
12848215,575695,https : //www.stormfront.org/forum/t814765/,N/A,No
12848217,575810,I was a substitute teacher for the Jackson Mississippi Public School System in the late 1990 's .,N/A,No
12848217,575810,One school that stood out was an elementary schoolI was sent to that was 100 % black .,N/A,No
12848217,575810,"I was basically a babysitter , and the apes went nuts , and frankly , I could not control them and had to press the panic button twice to get someone to help me .",N/A,Yes
12848217,575810,Lunch was surreal .,N/A,No
12848217,575810,The kids were not allowed to talk .,N/A,No
12848217,575810,At all .,N/A,No
12848217,575810,Silence .,N/A,No
12848217,575810,This was enforced to control behavior .,N/A,No
12848217,575810,"Went outside for recess , and noticed two niglet boys being hostile and ready to rumble , and I figured right that they jumped on each other after returning to class , grabbing Niglet Number One , hauling him outside and pressed that panic button again .",N/A,Yes
12848217,575810,"At 2 : 30 , I was ready TO GO !",N/A,No
12848217,575810,Backed my car up and felt a thump .,N/A,No
12848217,575810,"`` Oh s * * t , '' without looking , `` I hit one of their cars and now I am going to die ! '' , but to my relief , it was merely a light pole .",N/A,No
12848217,575810,I met and saw a lot of these teachers who worked in these all black schools and some of their horror stories .,N/A,No
12848217,575810,"I also , unfortuantely , spent 7-8th grade in a 95 % monkey house .",N/A,Yes
12848217,575810,Not fun .,N/A,No
12848217,575810,"It wasnt really that dangerous perse , just stinky , and dumb , with the poor 5 % white kids the outcasts , which made some of them hooligans and crazy .",N/A,Yes
12848217,575810,I did feel for the white teachers and especially the white kids who went to the schools .,N/A,No
12848466,575848,"My aunt teaches at an all black inner city school in Kent , OH .",N/A,No
12848466,575848,She is white .,N/A,No
12848466,575848,Some of the kids threw a DESK out of a third floor window onto a teacher and broke his arm .,N/A,No
12848466,575848,She gets cussed every day .,N/A,No
12848466,575848,Somebody scratched her car and let the air out of the tires one day .,N/A,No
12848466,575848,"She says the class is out of control and the kids are unteachable , and the black administration does not support her .",N/A,No
12849072,575922,"I like to listen to this preacher , but why do black prreachers always have to scream .",N/A,Yes
12849072,575922,I ai n't deaf yet .,N/A,No
12849464,575975,Thank you for posting your story .,N/A,No
12849464,575975,I think you should write a book as well .,N/A,No
12849464,575975,"I 've always considered teaching as one of the professions I would like to get into , but not in a neighbourhood like that ... never. kids like that disgust me .",N/A,Yes
12849464,575975,And the sad thing is the white students at those schools will act like that too .,N/A,Yes
12849464,575975,"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",N/A,No
12850089,576026,"Those pictures hit home for me , and some of those comments on that page are overwhelmingly ignorant .",N/A,No
12850089,576026,I could n't imagine living in those conditions with drugs and filthy negros everywhere .,N/A,Yes
12850415,576081,Here is the guy 's blog from the radio station he works at .,N/A,No
12850415,576081,I left a comment under his reply to the Tea Party video but I have to highlight it to be able to read it .,N/A,No
12850415,576081,93.5 THE BEACH - THE ROCK STATION,N/A,No
12850868,572101,That is the very definition of genocide .,N/A,No
12850868,572101,Is n't it interesting how genocide is a crime until it happens to Europeans ?,N/A,No
12850869,576144,Agreed.,N/A,No
12850869,576144,And changing a word or phrase to something that seems less confrontational does nothing to help those of us that are victims of anti-whites .,N/A,No
12851130,576158,Deliberately trying to eliminate an identifiable group is an attempt to commit geNOcide under the Law of Common Sense .,N/A,No
12851130,576158,I expect nobody disagrees ?,N/A,No
12851205,576176,It's sad when the stupid petitions get filled in 2-3 weeks like that one to build the death star .,N/A,No
12851205,576176,It 's why they do n't take real ones seriously .,N/A,No
12851329,576176,Randy Blazak is an `` expert '' all right--he teaches `` Sociology of Star Trek '' --a credited class students actually pay for .,N/A,No
12851329,576176,No wonder young people ca n't get jobs .,N/A,No
12851329,576176,They take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment .,N/A,No
12851401,572070,I'm reporting here that I have n't seen or heard anything on talk radio or TV that even hints at Jewish supremacist ethnic cleansing of Whites from USA or Europe .,N/A,No
12851401,572070,And my job lets me monitor all of Jewish supremacist control of talk radio .,N/A,No
12852099,572244,"Rhodine van der Walt was shot and killed in her home in Kempton Park on Saturday night , 1 Feb 2014 by blacks .",N/A,No
12852254,575534,London artist shot dead in South Africa protecting his family from gunmen in raid during wedding anniversary - Crime - News - London Evening Standard,N/A,No
12852431,576278,"I feel so sorry for all you people living there , wish you could all move here hopefully you do n't suffer like your neighbours in zimbabwe .",N/A,Yes
12852910,576319,It is in the nature of Jews to desecrate traditions of all sorts and push our women to make fools of themselves .,N/A,Yes
12853319,576365,None of those videos play .,N/A,No
12853319,576365,They seem to be a fake window trying to get you to go to a hook up site .,N/A,No
12853542,572091,"There IQ is pretty worthless if they have n't discovered a cure for cancer , MS , Parkinson or HIV , ETC .... bah .... all I see is numbers .",N/A,No
12853649,576402,I like this man 's anger and resoluteness.Colud anyone tell where to take the whole footage ?,N/A,No
12853649,576402,Racist attack on tv show south africa BBC - YouTube,N/A,No
12853683,572163,A good to start with one is Prodigal Genius written by John J. O' Neill .,N/A,No
12853683,572163,It can be read online here : http://www.rastko.org.yu/istorija/te...ell-tesla.htmlandhttp://www.scribd.com/doc/2683312/Pr ... n-Jacob-ONeill,N/A,No
12854072,576427,"Lol I only listened to Bulls on Parade cause it gave me that angry rush I like from music , but now I 'll stop listening to that trash .",N/A,No
12854332,576203,I wonder if Eddie has security guards present during his concerts or if he just relies on the overwhelming good will of the universe to keep him safe from the thousands upon thousands of screaming fans ?,N/A,No
12854410,575534,"Yeah, Des Moines .",N/A,No
12854410,575534,"Checkout these lyrics from `` Psychosocial '' : Fake Anti-Fascist Lie I tried to tell you , but your purple hearts are giving out Can t stop a killing idea if it s hunting season Is this what you want ?",N/A,No
12854410,575534,I m not the only one,N/A,No
12854553,572066,I had to start a new thread seeing as this thread was no longer functioning properly .,N/A,No
12854553,572066,See the new thread @ https : //www.stormfront.org/forum/t989503/,N/A,No
12854602,576464,I read a few things about him awhile back and he is far to the left as so many of them are .,N/A,No
12854602,576464,But I love this song and video so I thought I d post it here since the topic is about him .,N/A,No
12854602,576464,The song Comfortably Numb is from Pink Floyd .,N/A,No
12854602,576464,Roger Waters & Eddie Vedder - Comfortably Numb - 12-12-12 Sandy Relief Concert at MSG - YouTube,N/A,No
12854674,572057,A has been from a genre called `` grunge rock '' AKA sheety music popular around 20 years ago I did n't like them then and now ... same consensus Pearl Jam - Jeremy - YouTube,N/A,No
12854711,572176,Thank you for the update .,N/A,No
12854711,572176,Going to reah 10k soon !,N/A,No
12854711,572176,Just downloaded the 21 May `` edition '' Great as always Huge thanks !,N/A,No
12854711,572176,W.W.P,N/A,No
12854837,573356,"Old Tarzan movies , `` Zulu '' , and `` King Kong '' have many such images .",N/A,No
12854837,573356,National Geographic magazines in the 1950s and early 1960s are replete with color photos of African villagers .,N/A,No
12854837,573356,Dr. Albert Schweitzer 's two-hour documentary from 1958 was shown in movie theaters everywhere .,N/A,No
12854837,573356,I think VHS tapes are available at Amazon .,N/A,No
12854968,575569,It is happening .,N/A,No
12854968,575569,My wife had to spend time at the UP Hospital in Philadelphia - thank God I was licensed to carry in Pa. Downtown Philadelphia is becoming a cesspool .,N/A,Yes
12855064,572617,"People will say that the disease we brought killed most of them , but huge numbers of them died of an unknown disease before Columbus came into contact with them .",N/A,No
12855154,576372,Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,N/A,Yes
12855291,575502,Lets ask them to stop by the Federal Reserve and grab those books too as long as they 're out and about .,N/A,No
12855349,572083,When the girl starts talking the guy in the middles lips start moving .,N/A,No
12855349,572083,"He was checking her lines , bad actors ca n't help themselves from doing this .",N/A,No
12855497,575939,This whole situation starts to become really bizarre .,N/A,No
12855497,575939,I was a Right Sector supporter but it starts to sound as if they are in fact just Israeli agents ......,N/A,No
12855497,575939,I do n't know who to support anymore ................,N/A,No
12855604,576045,The peanut butter was not as important as the time machine used to go back and teach the ancient Incans how to make it .,N/A,No
12855806,575744,I've read many post on here saying Israel gives training to US law enforcement .,N/A,No
12855806,575744,I remember after the Boston Marathon bombings watching Fox News and they said law enforcement was consulting Israel for advice .,N/A,No
12855815,572150,Why do people still join Militias ?,N/A,No
12855815,572150,Why not just band with one or two of your close friends ?,N/A,No
12855815,572150,Militias are too risky with the Feds .,N/A,No
12856113,572976,Pity Nationalists in Britain are busy fighting each other as opposed to uniting and pushing the cause to a wider audience .,N/A,No
12856199,575935,A Storm is Brewing on the Horizon -- Will Obama Declare Martial Law Before 2016 ?,N/A,No
12856199,575935,"Richard Anthony March 2 , 2014 A Storm is Brewing on the Horizon ?",N/A,No
12856199,575935,Will Obama Declare Martial Law Before 2016 ? : Freedom Outpost,N/A,No
12856276,573125,As usual the magic negro opens his mouth and lies pour forth .,N/A,Yes
12856276,573125,If lies were money he would be the richest negro in the world,N/A,Yes
12856293,575744,Sounds like when I was down in Collier County last summer .,N/A,No
12856293,575744,"Golden Gate is nothing but Hispanics , with some Haitians thrown it .",N/A,No
12856293,575744,"Literally no whites When I lived in Naples when I left it was a lot of non white , but nowhere near like it is now .",N/A,No
12856456,572723,"Arseniy Yatsenyuk approved as Ukraine 's new prime minister Arseniy Yatsenyuk , Ukraine 's new prime minister Published February 27 , 2014 / FoxNews.com Source : Arseniy Yatsenyuk approved as Ukraine 's new prime minister | Fox News",N/A,No
12856615,572183,You mean there 's two of us left in the world ?,N/A,No
12856615,572183,Hells bells even Al Quadia sp ? have high speed and I pods .,N/A,No
12856759,572087,Great image of the Jew as a poisonous mushroom .,N/A,Yes
12856759,572087,I hope the Ukrainians become experts in identifing all the toxic mushrooms springing up .,N/A,Yes
12856773,572150,I'm wondering how would the liberals react to the Zulu movie being released in the year 2014 ?,N/A,No
12856773,572150,Zulu - Final Attack - YouTube,N/A,No
12856778,572124,At the beginning of the movie they show that huge group mating scene where they line up the men and women .,N/A,No
12856778,572124,I think ' Liberals ' would promote that type of mating because only randomness in your line determines your mate and not any other factor .,N/A,No
12856823,572247,The majority of the people in these photos are more of the threat to America than to the Ukraine in my opinion .,N/A,Yes
12856823,572247,Ukraine defense minister ignores repeated phone calls from Chuck Hagel http://washingtonexaminer.com/ukrain ... rticle/2544358,N/A,No
12856846,575968,"well, the liberals would go ape crazy .",N/A,Yes
12856846,575968,"And there 's no need for a video game , just pack concealed carry and walk around any major US city after dark .",N/A,No
12856933,576045,It would be great if we could get every last white out of there so no one would be there to fix things .,N/A,Yes
12856993,575948,I believe his dog would like to get as far away from him as possible !,N/A,No
12856993,575948,Free North Carolina : Peterson 's particulars VikingInMe,N/A,No
12857105,572893,Wow Is there some hope for the Negro race ?,N/A,No
12857105,572893,It would be nice to see Negro leaders like that take charge and lead their people home .,N/A,No
12857105,572893,I hope his God blesses him,N/A,No
12857202,576653,"What was once public employee , is now worker .",N/A,No
12857202,576653,"Ya have to watch how they change the wording of things , worker = commie thinking .",N/A,No
12857202,576653,God Bless,N/A,No
12857372,572112,They need the white male distracted as much as possible and of course the glorification of the groid ; two birds one stone .,N/A,Yes
12858198,575773,"I will at least never willingly pay to see this propaganda , maybe just watch it for free to show the influence the jews have got in the white genocide to people .",N/A,Yes
12858403,576069,"Alex Jones is not Pro White , he is trying to take anti-White and subvert it back into `` anti-racism '' and forced racial integration .",N/A,No
12858403,576069,"He is the kind of anti-white , that will whine about ' anti-White racism ' , instead of just calling them ' anti-White ' .",N/A,No
12858403,576069,"His commenters drone on , about how `` all races must all stick together '' .",N/A,No
12858403,576069,That should give you a big clue about his goals .,N/A,No
12858403,576069,"It is good that anti-White , is working its way out into the mainstream though .",N/A,No
12858628,575569,South Africa has returned to the Stone Age in 20 years .,N/A,Yes
12858628,575569,State Sanctioned racist murder of white farmers in South Africa FULL SCREEN BEST www.youtube.com/watch ? v = SKG72AviEFw,N/A,No
12858701,572179,"So according to section C , what few jobs there are in our areas will be given to these people as well Thanks for posting this .",N/A,No
12858722,576580,We have already reached that point ages ago !,N/A,No
12858722,576580,I remember my first job was in a window factory and I was one of the few whites working there .,N/A,No
12858722,576580,What will it look like ?,N/A,No
12858722,576580,"I 've seen it and currently live it , and let me tell you it is not pretty .",N/A,No
12858788,576152,These are Rapist techniques .,N/A,No
12858788,576152,They are culturally raping european countries in every way .,N/A,Yes
12858788,576152,Liberal is just the PC word for Rapist .,N/A,Yes
12858929,572226,It might hold together for a short time but eventually major problems will develop .,N/A,No
12858929,572226,Do non Whites really think they measure up to Whites ?,N/A,Yes
12859000,575432,I live in a large American city and it has gotten so bad that it is to the point where we are not just a minority .,N/A,Yes
12859000,575432,We are badly outnumbered .,N/A,No
12860405,572067,Same here .,N/A,No
12860405,572067,This would make me crazy if I saw it in person .,N/A,No
12860405,572067,"The sheer disrespect of just standing there and making her clean up their mess , and laughing about it .",N/A,No
12860462,572067,Sound like they are speaking another language in the back ground .,N/A,No
12860462,572067,Guy looks like he could be Mexican .,N/A,No
12860462,572067,It 's not a good video .,N/A,No
12860462,572067,They all deserve an ass kicking .,N/A,Yes
12860520,573285,I would think that European nationalist organizations would be easier to create than American nationalist organizations .,N/A,No
